Line,1st,2nd,3rd,4th,5th,6th,# of Spondees
1,S,D,D,D,D,-X,1
2,D,S,D,D,D,--,1
3,D,S,D,D,D,--,1
4,D,D,D,S,S,XX,2
5,D,S,D,S,D,XX,2
6,S,D,D,S,S,--,3
7,S,S,D,S,D,--,3
8,D,D,D,D,D,--,0
9,S,D,D,D,D,XX,1
10,S,D,D,S,D,--,2
11,D,D,S,D,D,AA,1
12,S,S,D,D,D,--,2
13,S,D,D,S,D,II,1
14,D,S,D,D,D,--,1
15,S,D,D,D,D,--,1
16,D,S,D,D,D,--,1
17,D,S,S,D,D,--,2
18,D,D,D,D,D,AA,0
19,D,D,D,S,D,-X,1
20,S,S,S,D,D,-X,3
21,S,D,D,D,D,--,1
22,D,S,D,D,D,II,1
23,D,D,D,D,D,XX,0
24,D,S,D,S,D,AA,2
25,D,D,S,D,S,II,2
26,S,S,D,D,D,XX,2
27,D,S,D,S,D,--,2
28,S,S,D,D,D,-X,2
29,D,S,D,S,D,II,2
30,D,D,D,D,D,--,0
31,D,S,D,S,D,II,2
32,S,D,D,S,D,XX,2
33,S,D,D,D,D,II,1
34,D,D,D,S,D,--,1
35,D,D,D,D,D,--,0
36,S,D,D,D,D,--,1
37,D,D,D,S,D,YY,1
38,S,S,D,D,D,XX,2
39,D,S,D,D,D,XX,1
40,D,D,D,D,D,I-,0
41,D,D,D,S,D,XX,1
42,D,D,D,S,D,X-,1
43,D,D,D,D,D,-X,0
44,S,S,D,S,D,X-,3
45,S,S,S,D,D,--,3
46,S,D,D,D,D,XX,1
47,D,D,S,S,D,--,2
48,S,D,D,S,D,--,2
49,S,S,D,D,D,AA,2
50,S,S,D,D,D,X-,2
51,D,D,D,D,D,--,0
52,S,S,D,D,D,II,2
53,D,S,S,D,D,AA,2
54,S,S,D,D,D,XX,2
55,D,S,D,D,D,--,1
56,S,D,D,D,D,--,1
57,S,S,S,D,D,--,3
58,D,S,D,S,D,--,2
59,D,S,D,D,D,X-,1
60,D,D,D,D,D,-X,0
61,D,D,S,D,D,AX,1
62,S,D,S,S,D,A-,3
63,D,D,D,S,D,AA,1
64,D,D,D,S,D,IX,1
65,D,D,D,D,D,--,0
66,S,D,D,S,D,II,2
67,S,D,D,D,D,--,1
68,S,D,D,S,D,-X,2
69,D,D,D,S,D,--,1
70,D,D,D,S,D,--,1
71,S,D,D,D,D,XX,1
72,S,D,D,D,D,--,1
73,S,D,D,D,D,--,1
74,D,D,D,D,D,X-,0
75,S,S,D,D,D,X-,2
76,D,S,D,S,D,II,2
77,D,D,D,D,D,II,0
78,S,D,S,D,D,XX,2
79,S,D,D,D,D,AA,1
80,D,D,D,D,D,XX,0
81,S,D,D,D,D,AA,1
82,S,D,D,D,D,XX,1
83,S,D,D,D,D,X-,1
84,S,D,D,D,D,AA,1
85,D,D,S,D,D,--,1
86,D,S,D,D,D,XX,1
87,D,D,D,D,D,-X,0
88,D,D,D,D,D,II,0
89,S,D,D,D,D,-X,1
90,S,S,D,S,D,X-,3
91,S,D,S,D,D,X-,2
92,D,D,D,D,D,AA,0
93,D,D,D,D,D,II,0
94,S,D,D,D,D,X-,1
95,D,D,D,D,D,-X,0
96,S,S,D,D,D,--,2
97,D,S,D,S,D,AA,2
98,S,D,D,D,D,XX,1
99,D,S,D,S,D,--,2
100,D,S,D,S,D,-X,2
